content,label
"Aplikasi baru tp malah sering gangguan. Saat dibutuhkan utk pmbyran malah error, pdhal sinyal bagus dan kuota msh banyak. Fitur2 kurg user friendly dan masih kalah lengkap drpd bni mobile banking. Ga tau apakah ini maksudnya inovasi atau apa, kok masih banyak kekurangannya. Mhn jd koreksi dan masukan utk tim developer aplikasi.",Negatif
Aplikasi susah buat vrifikasi,Negatif
Kenapa verifikasi wajah susah banget padahal pencahayaan udah terang normal gk pake aksesoris apapun apalagi masker!,Negatif
Ribetttt,Negatif
"Tdk bisa digunakan., Masukan Password malah tereset n tdk bisa login",Negatif
"Kekurangan Wondr by BNI: 1. Tidak ada fasilitas transaksi SBN Ritel, Riwayat transaksi SBN Ritel dan Portofolio SBN Ritel 2. Tidak ada fasilitas transaksi Obigasi Sekunder. 3. Menu Riwayat Mutasi Rekening masih lebih baik BNI Mobile Banking, karena ada pilihan transaksi terakhir, 1 Minggu, atau 1 Bulan, dan tampilan di BNI Mobile Banking terlihat lebih detail. 4. Setelah melakukan transfer, tidak ada notifikasi email ke penerima transfer, seperti yg difasilitasi BNI Mobile Banking.",Negatif
Susah verifikasi wajah terlalu rumit,Negatif
Awal pakai lancar. Beberapa minggu terakhir notif tidak masuk saat ada transfer masuk. Dan juga riwayat transaksi tidak on time. Butuh beberapa jam bahkan ada yang sampai seharian riwayat transaski baru muncul. Untuk sementara balik lagi pakai BNI Mobile. Ditunggu perbaikannya.,Negatif
Apk tak berfaedah yang orng tua itu butuh cuman cek saldo Transfer sudah Ndak yang neko2,Negatif
"Verifikasi wajah susah terdeteksi, sudah sesuai instruksi tapi tetap tidak terdeteksi.",Negatif
Kebijakan dan aplikasi bank nya gk banget buat ku.. ðŸ˜…,Negatif
Apk nya kurang bagus untuk Daftar dan Untuk verifikasi nya terlalu lelet sehingga mengakibatkan Gagal Terus jadi sampai sekarang belum bisa Daftar kocak...,Negatif
verifikasi wajah gagal terus,Negatif
Server kek berak,Negatif
Tidak bisa masuk ke menu utama aplikasi,Negatif
"Susah banget verivikasi wajah, udah mode terang dan di tempat terang juga ga bisa. dan tolonglah untuk buka kode pake pin aja. akhirnya saya ga bisa login ulang",Negatif
Aplikasi ndak jelas untuk apa verifikasi wajah padahal ktp dan kk aja kan sudah cukup,Negatif
"Yang saya mau itu notifikasi aplikasi saldo masuk minimal mulai dari 10.000 atau 50.000 Kalau dari BNI saat ini notifikasi mulai 500.000 Tolong di ubah jadi mulai minimal 10k atau 50k Sudah saya coba transfer tidak 100rb gak ada notifikasi dari aplikasi maupun email, Email sudah benar",Negatif
Terlalu sulit untuk verivfikasi wajah,Negatif
"Untuk login aja susah gimana mau menggunakan Hp nya pun udah versi terbaru OS ny,,loading nya lama banget mending yang bni mobile yang lama",Negatif
Kamera jernih Tempt terang kepala kanan kiri bawa gagal trus...kacau,Negatif
"Gimana si verifikasi otp kok salah mlu pdhl kode otp udh bner masukinya, di coba berulang kali masih salah terus, emng gj apknya",Negatif
Transaksi selalu gagal,Negatif
"Dimohon untuk diperbaiki, saya tidak bisa diproses masuk",Negatif
Untuk verifikasi wajah susah banget,Negatif
"Minta tolong fitur screen shoot dikembalikan, krn kita jg pingin menyimpan resi transaksi jg, bukan utk dikirim, dan juga tarik tunai tanpa ATM jg diaktifkan",Negatif
"Mohon segera update penyediaan fitur, untuk bisa memperbarui alamat terbaru nasabah secara mandiri lamgsung dari aplikasi ini.",Negatif
sering blank,Negatif
banyak tim perbaiki perbaiki mau transaksi jdi susah terhambattttt....payahhhhhhh,Negatif
"Ini aplikasi gmna sih sangat tidak membantu, tolong dong pihak BNI minta d perbaiki sangat mengecewakan.",Negatif
"sering loading lama, mau bayar malah panik",Negatif
Login buat akun aja aplikasi nya eror gak bisa dibuka.,Negatif
"Semua data udah sama tapi harus dateng offline untuk aktivasi, selama belum bisa aktivasi bintang 1 dulu ya",Negatif
Sering bermasalah..,Negatif
Lemot,Negatif
Masih enak pakai aplikasi dulu dari pada wonder Mau bayar tagihan PDAM aja gak bisa karena daftar PDAM tidak lengkap,Negatif
baru mau daftar gajelasss umur udah 19 keditek nya masi dibawa 17 gabisa buka rekening gimna coba,Negatif
Hadeh fitur auto top up nya maintenance terus,Negatif
"Bintang satu, C verifikasi wajah susah minta ampun belibet, sampai pegel leher.Tolonh perbaiki jangan ribet kayak gitu",Negatif
"Kemaren saya transfer melalui Qris gagal 3 kali, tapi saldo saya tetap berkurang.. Udah saya hubungi melalui email, udah mengikuti caraÂ² nya, tetep aja saldo saya tidak dikembalikan. Saya kecewa.. M-banking nya juga sering banget ada gangguan!!",Negatif
orang ngirim ke aku tpi ga masuk di aku tapi saldo pengirim nya berkurang gmna dong,Negatif
Pas mau verifikasi wajah susah banget gagal terus,Negatif
Sangat buruk,Negatif
"Mau daftar aja ga bisa, payah!!!!",Negatif
"Aplikasi banking yg paling susah buat verifikasi wajah. Ga bni mobile ga wondr sama aja buruk. Udh dari 2012 pake bni, kayaknya 2024 ini waktunya say good bye. Udah capek bolak balik kantor cabang cuma buat aktivasi mbanking. Soalnya setiap kali gw ganti HP atau reset factory, verif wajahnya selalu d gagal. Kenapa gua bilang ini aplikasinya yg burik? Karena 5 mbanking bank gw yg lainnya bisa semua kecuali si bni ini.",Negatif
Verivikasi wajah nikin ribet jadi bikin repot aja ini aplikasi (uninstal ajalah bikin kecewa),Negatif
Mobile tunai jadi gak ada,Negatif
"Masa ga bisa loginn, coba teruss dah berkali-kali",Negatif
untuk verifikasi yg dikirim ke email gk masuk masuk y. berapa kali dicoba sudah. sungguh mengecewakan.,Negatif
Kenapa susah sekali mau Lagin ke aplikasinya,Negatif
Susah verifikasi wajah tidak pernah berhasil,Negatif
Lupa password harus proses lagi dari awal,Negatif
"Pagi pagi uang ngilang 150.000 aku pikir kemana ta cek pake apk wondr ngga ada transaksi, aku cek pake apk BNI mobile ada transaksinya, mending pake BNI mobile aja ngga usah bikin apk lagi",Negatif
Aplikasi sangat buruk.......sudah berhasil daftar..malah gaaaa bisa masuk...sudah di daftar lagi. Eh bermasalah di transaksi lagi..... Masi mending aplikasi lama mobail bening... Kalau begini terus cara wonder melayani nasabah dan aplikasi masi begitu terus.....mending saya pindah bank aja.....,Negatif
